sid,title,group_name,datelocation,year,month,mid,name,year:1,nbr_sessions,instruments
R150943,,Heinz Wehner Und Sein Tanzorchester,"Berlin, April 1, 1936",1936,April,22487,Ewald Meyer,1936,22,d
R8271,,,"New York, April 24, 1945",1945,April,17102,Pearl Bailey,1945,56,vcl
R58825,,,"Chicago, April 17, 1945",1945,April,77360,Robert Montgomery,1945,1,b
R158286,,Lester Young And His Orchestra,"New York, June 28, 1949",1949,June,8979,Leroy Jackson,1949,15,b
R99693,,Gene Morris Quintet,"Los Angeles, late 1946",1946,,5544,Lee Young,1946,106,d
R129646,,Martin Slavin's Vibrachords,"London, September 3, 1954",1954,September,33277,Roy Cooper,1954,2,d
R10202,,,"Melbourne, June 15, 1952",1952,June,19963,Tich Bray,1952,25,cl
R125131,,Raymond Scott Orchestra,"CBS Broadcast ""Radio Review"", early May 1944",1944,May,48998,Wolf Tayne,1944,14,ts
R62634,Herbie Harper,Herbie Harper Septet,"Los Angeles, January 25, 1955",1955,January,5783,Irv Cottler,1955,149,d
R61660,,Lionel Hampton And His Orchestra,"Broadcast, Little Rock, Arkansas, October 15, 1948",1948,October,54425,Jimmy Wormick,1948,36,tb
R83609,,Maestro Paul Laval And His Woodwindy Ten,"New York, November 11, 1940",1940,November,44363,Rudolph Adler,1940,34,"cl,oboe,eng-hrn"
R64554,,Neal Hefti And His Orchestra,"New York, August 1, 1951",1951,August,20290,Frances Wayne,1951,98,vcl
R119202,,,"New York, February 28, 1938",1938,February,10129,Dave Barbour,1938,192,g
R10482,,Charlie Barnet And His Orchestra,"Hollywood, CA, August 16, 1949",1949,August,20432,Carlos Vidal,1949,45,cga
R104643,,Red Norvo Trio,"Hollywood, CA, May 3, 1950",1950,May,10997,Red Norvo,1950,346,vib
R38729,,,"New York, July 22, 1951",1951,July,14922,Tiny Kahn,1951,80,arr
R3934,,,"New York, January 31, 1951",1951,January,8998,Charles Bateman,1951,14,p
R29365,,,"Chicago, March 11, 1936",1936,March,47327,Roy Palmer,1936,14,tb
R120660,,,"Paris, July 10, 1941",1941,July,2837,Christian Bellest,1941,61,
R59057,,,"New York, April 10, 1952",1952,April,10751,Art Drellinger,1952,116,as
R39814,,Vic Dickenson And His Sextet,"Los Angeles, late 1947",1947,,6161,Vic Dickenson,1947,386,"tb,vcl"
R23323,,,"New York, January 3, 1940",1940,January,39674,Bob Burns,1940,53,ts
R66582,Richard Himber And His Orchestra 1940,,"World Broadcast Systems, 2 sessions, 1940",1940,,83344,Ruth Vale,1940,3,
R67133,,Art Hodes' Chicagoans,"New York, March 18, 1944",1944,March,26570,Ray Conniff,1944,212,tb
R58607,,Wardell Gray's Los Angeles All Stars,"Broadcast ""Hula Hut"", Sunset Boulevard, Los Angeles, August 27, 1950",1950,August,38,Clark Terry,1950,918,tp
R131175,,Willie Smith And His Orchestra,"Los Angeles, May 2, 1945",1945,May,10883,Billy May,1945,539,"tp,arr"
R188448,Mabel Mercer Sings Cole Porter,,"New York, November 7, 1954",1954,November,24989,Stan Freeman,1954,53,
R83029,,,"Zurich, October 30, 1942",1942,October,27458,Fred Jaquillard,1942,13,
R136798,,,"Stockholm, March 23, 1953",1953,March,1972,Ove Lind,1953,149,cl
R126965,,Artie Shaw And His Orchestra,"New York, January 20, 1942",1942,January,45198,Fred Goerner,1942,78,
R34146,,,"Los Angeles, December 17, 1954",1954,December,2344,Herbie Steward,1954,121,as
R19874,,Simon Brehms Orkester,"Stockholm, September 18, 1948",1948,September,13243,Bob Henders,1948,61,
R111127,,,"London, November 15, 1938",1938,November,8513,Joe Crossman,1938,163,
R132802,,Charlie Spivak And His Orchestra,"New York, December 23, 1952",1952,December,135026,Russ Montcalm,1952,60,
R134083,,Jean Steurs Et Son Grand Orchestre De Danse,"Brussels, November 1, 1938",1938,November,21247,Paul D'Hondt,1938,37,
R134323,,Rex Stewart And His Orchestra,"Nice Jazz Festival, Nice, France, early June 1948",1948,June,119909,Vernon Story,1948,11,ts
R53064,,,1946 or 1947,1946,,72894,Bam Brown,1946,44,"b,vcl"
R187881,"Live, 1950",Elliot Lawrence and his Orchestra,"AFRS Transcription, ""Land's Best Bands"", 1950",1950,,97489,Gene Hessler,1950,8,tb
R8288,,Pearl Bailey Acc By Don Redman Orchestra,"New York, September 10, 1953",1953,September,191471,Homer Alexander,1953,1,tb
R78214,,Stan Kenton And His Orchestra,"Hollywood, CA, November 19, 1943",1943,November,63139,George Faye,1943,13,tb
R164056,,,"Mexico City, March 5, 1954",1954,March,52204,Tino Contreras,1954,12,d
R143095,,Frankie Trumbauer Orchestra,"Standard Transcriptions, Los Angeles, CA, March 30, 1938",1938,March,125646,Lank Menge,1938,7,tb
R6956,Black And White Magic,,"London, c. 1950's",1950,,14631,Winifred Atwell,1950,2,"p,arr"
R81374,,Gene Krupa And His Orchestra,"New York, September 3, 1940",1940,September,5774,Shorty Sherock,1940,236,tp
R83330,,Rolf Larsson's Dixieland Band,"Stockholm, September 30, 1955",1955,September,9625,Sixten Eriksson,1955,75,tp
R81943,,,"AFRS Jubilee, August, 1943",1943,August,81638,Clyde Rogers,1943,24,
R24450,Steve Allen Jazz Concert,The Billy Butterfield Jazz Band,"Concert ""Manhattan Center"", New York, May 8, 1954",1954,May,5146,Jack Lesberg,1954,287,b
R133943,,Erwin Steinbacher Und Sein Orchester,"Berlin, October, 1938",1938,October,26670,Karl Kutzer,1938,115,
R44832,,Duke Ellington And His Famous Orchestra,"New York, May 14, 1937",1937,May,9762,Harry Carney,1937,1065,"bar,cl,b-cl"
R94894,,,"Paris, October 23, 1942",1942,October,6672,Tony Rovira,1942,36,b
R98456,,Lazy Ade's Late Hour Boys,"Melbourne, April 11, 1944",1944,April,13307,"Don ""Pixie"" Roberts",1944,122,"cl,ts"
R36822,,,"London, May 5, 1937",1937,May,7170,Harry Hayes,1937,76,"as,cl"
R150661,,Ben Webster And His Orchestra,"Los Angeles, December 8, 1953",1953,December,2508,Ray Brown,1953,887,b
R7068,,Georgie Auld And His Orchestra,"Los Angeles, March 21, 1949",1949,March,4641,Georgie Auld,1949,353,"as,ts,vcl"
R85423,,,"New York, June 30, 1939",1939,June,9564,Joe Turner,1939,60,vcl
R18314,,,"Los Angeles, February 15, 1937",1937,February,12523,Joe Yukl,1937,98,tb
R4783,,Ray Anthony And His Orchestra,"Chicago, IL, August 20, 1950",1950,August,8768,Bob Tricarico,1950,81,ts
R140382,,Claude Thornhill And His Orchestra,"New York, June 4, 1947",1947,June,33910,Claude Thornhill,1947,143,"p,arr"
R30524,The First Sessions 1952,,"New Orleans, August 20 & 21, 1952",1952,August,11852,Albert Burbank,1952,81,cl
R41076,,,"New York, May, 1951",1951,May,6184,Bob Haggart,1951,584,b
R74975,,,"New York, November 9, 1944",1944,November,23341,Lem Johnson,1944,16,"ts,vcl"
R41059,,,"New York, June 11-12, 1945",1945,June,4544,David Rose,1945,64,arr
R78322,,Stan Kenton And His Orchestra,"Hollywood, CA, February 25, 1952",1952,February,82767,Ruben McFall,1952,66,
R71244,,Willis Jackson & His Orchestra,"New York, April 23, 1954",1954,April,87907,Edward Sentineo,1954,3,p
R7028,,,"Los Angeles, 1953",1953,,1521,Johnny Otis Orchestra,1953,103,vib
R58545,,,"Hollywood, October 18, 1946",1946,October,77129,Alan Farmer,1946,1,tp
R148631,,,"New York, April 9, 1937",1937,April,15363,Herman Autrey,1937,79,tp
R32877,,Eddie Condon Blue Network Show 30 (AFRS 28),"Broadcast ""Ritz Theatre"", New York, December 16, 1944",1944,December,12631,Johnny Blowers,1944,94,d
R2394,,,"New York, March 18, 1939",1939,March,5752,Sid Segan,1939,5,
R207978,,Seymour Osterwalls orkester,"Film soundtrack, ""Jitterbug"", c. September 1944",1944,September,11970,Sven Hedberg,1944,66,tb
R49245,,,"New York, December 11, 1946",1946,December,68902,Ron Snyder,1946,4,tp
R81477,,Gene Krupa And His Orchestra,"New York, September 20, 1946",1946,September,20444,Buddy Stewart,1946,82,
R27597,,,"Los Angeles, July 2, 1937",1937,July,12585,Dan d'Andrea,1937,79,as
R85730,,,"New York, 1947",1947,,52416,Evelyn White,1947,11,vcl
R44427,,,"New York, May 7, 1946",1946,May,27215,"Napoleon ""Snags"" Allen",1946,14,g
R96160,,Glenn Miller And His Orchestra,"NBC Broadcast ""Cafe Rouge"" Hotel Pennsylvania, New York, October 18, 1940",1940,October,12671,Ernie Caceres,1940,503,"as,bar"
R10451,,,"Aquarium Restaurant, New York, June 27-July 24, 1946",1946,June,20366,Sammy Nestico,1946,41,
R116942,,Django Reinhardt & Air Transport Command Band,"AFN Bandstand broadcast, Paris, France, October 26, 1945",1945,October,124716,Don Gardner,1945,4,
R23447,,,"Brussels, c. May 24, 1946",1946,May,39887,Charles Vandevelde,1946,1,b
R206179,Rendez-Vous Dansant A Copacabana,Lalo Schifrin Son Piano Et Ses Rythmes,"prob. Paris, France, c. 1955",1955,,17313,Jean-Louis Viale,1955,73,d
R7190,,,"Los Angeles, November 18, 1937",1937,November,6266,Gene Austin,1937,27,"vcl,p"
R61187,,Bengt Hallberg's Kvintett/Kvartett/Trio,"Stockholm, August 14, 1951",1951,August,16336,Gunnar Johnson,1951,70,b
R117587,,,"New York, September 21, 1936",1936,September,32445,Ben Pollack,1936,80,d
R118116,,,"Stockholm, October 27, 1954",1954,October,2948,Yngve Akerberg,1954,95,b
R67420,,,"Brussels, July 20, 1944",1944,July,83793,Robert Beelaerts,1944,4,
R206480,,Danny Knight with Red Saunders Orch.,"Chicago, IL, November, 1947",1947,November,21583,Sonny Cohn,1947,222,
R155666,,Teddy Wilson And His Orchestra,"New York, January 30, 1939",1939,January,5546,Benny Carter,1939,573,"as,cl"
R125837,Piano Mood,Harry See (Henri Segers) At The Piano,"Brussels, September 8, 1954",1954,September,131191,Harry See,1954,1,p
R2682,The Sydney Jazz Concerts 1947/1951,Jack Allan's All Stars,"Sydney, September 15, 1950",1950,September,6468,Les McGrath,1950,10,as
R5797,,Bing Crosby With Louis Armstrong: Show #1,"radio recording, ""Bing Crosby Show"", San Francisco, CA, February 21, 1949",1949,February,12694,Israel Rosenbaum,1949,1,
R127033,,Artie Shaw And His Orchestra,"New York, September 13, 1950",1950,September,93776,Leon Frengut,1950,3,viola
R14370,,Bunny Berigan & his Rhythm Makers orchestra,"RCA Thesaurus recording studio, New York, July 20, 1936",1936,July,10132,George Mazza,1936,24,tb
R67496,,,"Berlin, November 8, 1939",1939,November,83887,Willi Kettel,1939,21,d
R5713,,Louis Armstrong With Glen Gray And The Casa Loma Orchestra,"New York, February 20, 1939",1939,February,175152,Clarence Hutchenrider,1939,1,"as,cl"
R21558,,,"Hollywood, CA, September 19, 1951",1951,September,10177,Ray Sims,1951,233,
R22225,,Dave Brubeck Quartet Plus Guests,"Live, Newport Jazz Festival, Newport, R.I., July 16, 1955",1955,July,12943,Dave Brubeck,1955,320,p
R12045,,Vic Bayens Et Son Orchestra,"Brussels, late 1954",1954,,5835,Philippe Decae,1954,22,p
R40317,,,"Live, Dixieland Jubilee, ""Shrine Auditorium"", Pasadena, CA, October 7, 1949",1949,October,12795,Country Washburne,1949,55,tu
R91680,,Tony Mason Med All Star Orchestra,"Stockholm, September 25, 1935",1935,September,4885,Miff Gorling,1935,68,tb
R154743,,Nelson Williams And His Orchestra,"Paris, France, April 15, 1953",1953,April,33545,Andre Lafosse,1953,9,tb
R10401,,Charlie Barnet And His Orchestra,"New York, April 29, 1941",1941,April,12707,Bernie Privin,1941,407,
R37664,"Live At The Hi-Hat, Boston",Miles Davis With The Hi Hat All Stars,"Live ""Hi Hat Club"", Boston, Mass., prob. 1953",1953,,41192,Jimmy Zitano,1953,19,d
R117886,,Louis Richardet Et Son Orchestre,"Paris, c. 1948",1948,,2843,Noel Chiboust,1948,52,ts
R96081,,Glenn Miller And His Orchestra,"New York, February 19, 1940",1940,February,107528,Chummy MacGregor,1940,343,p
R3930,,Gene Ammons Orchestra,"New York, July 27, 1950",1950,July,8965,Gene Ammons,1950,137,"ts,vcl"
R155654,,Teddy Wilson And His Orchestra,"New York, December 17, 1937",1937,December,4238,Teddy Wilson,1937,585,p
R32532,"Best Of British Jazz From BBC Jazz Club, Volume 1",Ken Colyer's Jazzmen,"BBC Broadcast, London, 1953-1954",1953,,18286,Monty Sunshine,1953,204,cl
R199145,,Nat King Cole Trio & Woody Herman Orchestra,"Live ""Carnegie Hall"", New York, November 4, 1949",1949,November,4583,Sam Marowitz,1949,396,as
R2683,,,"Sydney, December 1, 1950",1950,December,6469,Jack Allan,1950,10,p
R156465,,,"WNEW broadcast, New York, February 4-11, 1945",1945,February,16987,Mildred Bailey,1945,152,vcl
R34131,The Amazing Johnny Costa,,"New York, February 26, 1955",1955,February,2474,Kenny Clarke,1955,513,d
R145472,,,"Paris, 1955",1955,,9135,Maurice Vander,1955,121,p
R121120,The Great Jazz Concerts At The Original Royal Roost,,"WMGM Broadcast ""Royal Roost"", New York, December 19, 1948",1948,December,2479,J.J. Johnson,1948,368,tb
R27121,,,"AFRS Jubilee no. 184, Los Angeles, CA, April/May 1946",1946,April,12786,Harold Clark,1946,37,
R160130,,,"New York, May 2, 1946",1946,May,25446,Eddie Caine,1946,58,
R141690,,Mel Torme Acc By Joe Lippman's Orchestra,"New York, April 9, 1951",1951,April,7089,Toots Mondello,1951,264,
R155666,,Teddy Wilson And His Orchestra,"New York, January 30, 1939",1939,January,6822,Cozy Cole,1939,333,d
R73820,,,"Stockholm, October 25, 1949",1949,October,89842,Mary Enfrids,1949,1,
R38474,,Ken Dean's Hot Seven,"Live ""George Taggart Organization Rehearsal Hall"", Toronto, October 22, 1948",1948,October,58131,Jim Johnson,1948,2,d
R95746,,,"Los Angeles, March 26, 1954",1954,March,2154,Maxwell Davis,1954,182,
R109435,,Santo Pecora And His Dixieland Jass Band,"New Orleans, March, 1950",1950,March,32443,Santo Pecora,1950,33,tb
R92251,Sorta-May,Billy May And His Orchestra,"Hollywood, CA, September 15-17, 1954",1954,September,47887,Jules Kinsler,1954,41,
R127393,,,c. 1951,1951,,117500,Jack Minger,1951,5,cnt
R100083,,,"New York, 1946",1946,,12513,Snub Mosley,1946,29,"tb,vcl"
R106661,Kid Ory's Creole Jazz Band 1954,,"Hollywood, CA, August 9 & 10, 1954",1954,August,6885,Kid Ory,1954,144,"tb,vcl"
R92236,,Billy May And His Orchestra,"Hollywood, CA, May 4, 1953",1953,May,104361,Bob McKenzie,1953,11,
R78322,,Stan Kenton And His Orchestra,"Hollywood, CA, February 25, 1952",1952,February,93145,Lee Elliot,1952,22,ts
R127006,,,"Los Angeles, 7:30-11pm, June 11, 1946",1946,June,4981,Chuck Gentry,1946,576,sax
R15307,,,"Brussels, February, 1954",1954,February,28648,Rudy Frankel,1954,38,d
R139598,,,"Broadcast, New York, May 24, 1947",1947,May,6780,Albert Nicholas,1947,190,cl
R146988,,Eddie Vinson And His Orchestra,"New York, November 18, 1946",1946,November,82351,Lee Pope,1946,26,ts
R126418,,,"Brussels, May 24, 1951",1951,May,62119,Jeff de Boeck,1951,4,d
R14603,Woodchopper's Holiday 1946,,"New York, January-June, 1946",1946,January,2345,Jimmy Rowles,1946,510,p-1
R70847,,,"Stockholm, December 16, 1946",1946,December,273,Carl-Henrik Norin,1946,156,ts
R7059,,Georgie Auld And His Orchestra,"New York, January 15, 1946",1946,January,14895,Mike Datz,1946,8,tb
R141966,,Eddie Tower And His Band,"Brussels, June 13, 1939",1939,June,28989,Louis Billen,1939,28,
R4866,,Ray Anthony And His Orchestra,"Chicago, IL, June 4, 1954",1954,June,10875,Don Simpson,1954,215,b
R99887,,Ella Morse Acc By Nelson Riddle's Orchestra,"Los Angeles, December, 1952",1952,December,12642,Ella Mae Morse,1952,52,vcl
R54746,,,"Phytian Temple, New York, April 13, 1953",1953,April,63542,Sid Bulkin,1953,36,d
R159954,,,"Hollywood, CA, December 2, 1949",1949,December,12697,Peggy Lee,1949,257,vcl
R122004,Jazz And Hot Dance In Finland 1920-1950,,"Helsinki, March 4, 1935",1935,March,128405,Rolf Ljunglin,1935,1,vln
R131043,,Tab Smith/Willie Smith Orchestra,"New York, January, 1941",1941,January,49254,Herbie Fields,1941,53,cl
R126997,,Artie Shaw And His Orchestra,"Radio show ""Spotlight Bands"", Naval Hospital, San Diego, CA, September 12, 1945",1945,September,14842,Harry Rogers,1945,187,"tb,arr"
R71239,,Willis Jackson And His Orchestra,"New York, May 29, 1950",1950,May,87903,Arnold Jarvis,1950,31,p
R123552,,,"New York, April 6, 1953",1953,April,7099,Sid Cooper,1953,220,
R49048,,Jean Ferret Et Son Sixtette,"Paris, France, 1943",1943,,25200,Rene Duchaussoir,1943,15,rhythm-g
R158268,,Lester Young Quartet,"New York, December 28, 1943",1943,December,6165,Sidney Catlett,1943,234,d
R127023,,Artie Shaw And His Gramercy Five,"New York, January 6, 1950",1950,January,4976,Don Fagerquist,1950,363,tp
R152894,,Paul Whiteman And His Swing Wing,"Radio broadcast, ""Saturday Night Swing Club"", New York, May 7, 1938",1938,May,51592,Rollo Laylan,1938,44,d
R12931,,,"Leben, Prague, September 23, 1947",1947,September,24332,Russ Murphy,1947,32,"d,wbd"
R26653,,Hoagy Carmichael & The Chickadees Acc By Vic Schoen And His Orchestra,"Los Angeles, August 19, 1946",1946,August,43770,The Chickadees,1946,7,vcl
R138580,,,"Los Angeles, July 7, 1941",1941,July,5288,Arnold Fishkin,1941,114,
R138576,,Jack Teagarden And His Orchestra,"Standard transcriptions, Los Angeles, May 4, 1941",1941,May,54411,Jose Gutierrez,1941,59,
R143099,,Frankie Trumbauer Orchestra,"New York, February 22, 1940",1940,February,26596,Georgia Gibbs,1940,18,vcl
R116980,,,"Broadcast, Radio Luxembourg, Paris, France July 1950",1950,July,12937,Christian Garros,1950,121,d
R115107,,,"New York, May 13, 1945",1945,May,33311,Boyd Raeburn,1945,40,bassax
R166241,,Eddie Condon's Jazz Concert All Stars,"Broadcast, New York, January, 1950",1950,January,5425,Peanuts Hucko,1950,506,cl
R170770,,,"Steffl Diele, Vienna, October 20, 1943",1943,October,96703,Ernst Landl,1943,28,p
R7064,,Georgie Auld And His Orchestra,"Broadcast, AFRS Jubilee 322, Empire Room, Hollywood, CA, February, 1949",1949,February,4598,Gerry Mulligan,1949,395,"bar,arr"
R1132,,,"Radio Geneva, Geneva, February 8, 1950",1950,February,2813,Roger Toussaint,1950,23,as
R182744,Splash Goes To Town,,"Adelaide, c. 1947",1947,,97812,Wally Lund,1947,9,p
R3729,,,"London, June 25, 1940",1940,June,8544,Billy Amstell,1940,135,"cl,ts"
R2567,,,"Oslo, Norway, October, 1950",1950,October,6221,Kristian Bergheim,1950,21,ts
R8740,,,"London, June 4, 1954",1954,June,11928,Stan Tracey,1954,249,p
R20465,,Freddie Brocksiepper And His Boys,"Munich, November 7, 1955",1955,November,36617,Walter Raab,1955,5,
R22477,,Max Bruels Orkester,"Copenhagen, November 8, 1951",1951,November,38604,Niels Hartmann,1951,1,tp
R10405,,,"Hollywood, CA, August 14, 1941",1941,August,10770,Cliff Leeman,1941,358,d
R83274,,Ellis Larkin Trio,"New York, c. 1949",1949,,2903,Ellis Larkins,1949,86,p
R40315,,,"Zurich, November 10, 1950",1950,November,60555,Alex Dubois,1950,2,d
R55992,,Hilde Hildebrand Mit Der Goldene Sieben,"Berlin, October 1936",1936,October,26667,Erhard Krause,1936,122,tb
R43856,,,"Nurnberg, February 17, 1950",1950,February,57308,Klaus Mitschele,1950,25,
R129562,,The Skyrockets Orchestra,"London, January 27, 1948",1948,January,75870,Pat Smuts,1948,90,ts
R161227,,Hank D'Amico And His Orchestra,"New York, November 7, 1947",1947,November,10141,Felix Giobbe,1947,53,b
R93359,Mills Brothers With Hal McIntyre And His Orchestra,Hal McIntyre And His Orchestra,"New York, July 7, 1952",1952,July,105380,John Twaddle,1952,1,tp
R168138,,Sidney Bechet with Andre Reweliotty's Orchestra,"4 p.m. concert, Vienna, Austria, poss. October 30, 1955",1955,October,23372,Eddie Bernard,1955,60,p
R161288,,,"London, August 2, 1946",1946,August,56351,Joe Daniels,1946,98,d
R49244,,,"New York, October 19, 1946",1946,October,6882,Marty Napoleon,1946,104,p
R125717,,Secco's Gitanos,"Laren, March, 1937",1937,March,58270,Leo Askenase,1937,6,b
R61618,,,"New York, March 19, 1944",1944,March,79746,Rubel Blakey,1944,8,
R83766,Prom Night,,"New York, June 7, 1950",1950,June,58505,Vince Ferraro,1950,12,
R153232,,,"Berlin, January 21, 1948",1948,January,1111,Herbert Muller,1948,71,"cl,as"
R38599,,,"Live ""Hof van Holland"", Hilversum, The Netherlands, February 12, 1947",1947,February,58283,Jos Cleber,1947,7,tb
R5828,,Bing Crosby With Louis Armstrong: Show #3,"radio recording, ""The Bing Crosby Show"", Hollywood, CA, December 14, 1950",1950,December,12741,Wendell Mayhew,1950,7,tb
R121465,,,"Los Angeles, October 20, 1953",1953,October,5865,Bud Shank,1953,580,bar
R67244,,Johnny Hodges And His Orchestra,"New York, March 3, 1951",1951,March,9562,Leroy Lovett,1951,34,p
R184322,,Billy Eckstine with Pete Rugolo and his Orchestra,"Los Angeles, February 26, 1951",1951,February,10951,Paul Robyn,1951,42,viola
R131825,,,"Stockholm, March 17, 1937",1937,March,267,Gosta Torner,1937,161,tp
R81477,,Gene Krupa And His Orchestra,"New York, September 20, 1946",1946,September,10825,George Williams,1946,368,arr
R71825,,,"New York, December 6, 1951",1951,December,9598,Dick Vance,1951,128,
R99934,,,"New York, 1945",1945,,77760,Jimmy Butts,1945,17,b
R112608,,,"Sydney Town Hall, Sydney, March 24, 1948",1948,March,49786,Jimmy Somerville,1948,27,"p,vcl"
R106899,,,"Stockholm, November 9, 1943",1943,November,76429,Curt Fahgen,1943,6,g
R40048,,Varetta Dillard Acc By Leroy Kirkland Orchestra,"New York, September 18, 1952",1952,September,60151,Emile De Villia,1952,2,tp
R63076,,Phil Harris And His Dixieland Syncopators,"Los Angeles, February 24, 1950",1950,February,4493,Red Nichols,1950,500,cnt
R9509,,Chris Barber's New Orleans Jazz Band,"Hammersmith Palais, London, March 19, 1951",1951,March,19168,Brylo Ford,1951,4,b
R28018,,,"Hollywood, CA, 1946-47",1946,,45406,Lloyd Pratt,1946,18,b
R4846,,Ray Anthony And His Orchestra,"Nashville, TN, March 8, 1953",1953,March,10825,George Williams,1953,368,arr
R128968,,Zoot Sims Quartet,"Stockholm, Sweden, August 23, 1953",1953,August,14899,Stan Levey,1953,302,d
R5684,,Louis Armstrong Acc By Jimmy Dorsey And His Orchestra,"Los Angeles, August 7, 1936",1936,August,4499,Fud Livingston,1936,135,
R171887,,,"Geneva, 1955",1955,,14687,Mike Thevenoz,1955,14,d
R41665,,AFRS One Night Stand 2576 : Jimmy Dorsey And His Orchestra,"Broadcast, ""Palladium"", Hollywood, June 12, 1951",1951,June,61751,Phil Cenicola,1951,28,ts
R150843,Piano Moods,,"New York, July 5, 1950",1950,July,12785,Bunny Shawker,1950,86,d
R110439,,Oscar Peterson Trio,"Live ""Birdland"", New York, January 19, 1953",1953,January,5782,Barney Kessel,1953,513,g
R4754,,Ray Anthony And His Orchestra,"Hollywood, CA, March 14, 1949",1949,March,10797,Louis Sadar,1949,28,ts
R187407,,Django Reinhardt et l'Orchestre de Chez 'Jimmy',"Radio Cite broadcast, ""Jimmy's Bar"", Paris, February or March 1940",1940,February,19498,Emmanuel Soudieux,1940,97,b
R79284,Bidin' My Time,,"New York, prob. July 1955",1955,July,4586,Freddie Green,1955,713,g
R95997,,Glenn Miller And His Orchestra,"New York, September 27, 1938",1938,September,107528,Chummy MacGregor,1938,343,p
R102940,,,"Neuchatel, March 6, 1954",1954,March,113155,Francois Schmid,1954,5,bj
R103413,,,"New York, April 15, 1937",1937,April,6822,Cozy Cole,1937,333,d
R71988,,Harry James And His Orchestra,"Hollywood, April 25, 1945",1945,April,20471,Bill Spear,1945,208,viola
R151883,,,"Oslo, March, 1954",1954,March,81302,Arthur Strand,1954,7,
R21567,,,"Hollywood, CA, November 5-6, 1952",1952,November,37856,Abe Aaron,1952,119,"cl,as"
R18964,,Will Bradley And His Orchestra,"New York, April 23, 1941",1941,April,10758,Will Bradley,1941,267,"tb,arr"
R7049,,Georgie Auld And His Orchestra,"New York, February, 1940",1940,February,14840,George Arus,1940,264,
R154235,,,"Los Angeles, 1949",1949,,7157,Roy Porter,1949,56,
R126949,,Artie Shaw And His Orchestra,"Burns & Allen radio show, New York, January 27, 1941",1941,January,20487,Lee Castle,1941,184,
R7062,,Georgie Auld And His Orchestra,"New York, June 14, 1946",1946,June,14897,Serge Chaloff,1946,113,bar
R32677,,Alix Combelle Et Son Ensemble,"Brussels, Belgium, June, 1942",1942,June,2837,Christian Bellest,1942,61,tp
R129147,,Charie Singleton And His Band,"New York, 1950",1950,,5883,Gildo Mahones,1950,85,p
R146391,,,"Brussels, November, 1953",1953,November,22561,Charlie Knegtel,1953,60,
R8433,Bopping The Blues,,"Hollywood, CA, October 18, 1946",1946,October,17278,Connie Wainwright,1946,19,g
R51050,,,"New York, October 25, 1946",1946,October,8165,Danny Alvin,1946,35,d
R85923,Vic Lewis Jam Sessions Vol 4: 1942-1943 : Buddy Featherstonhaugh R.A.F. Sextet,,"London, December 1942-June 1943",1942,December,68033,Vic Lewis,1942,143,"g,vcl"
R64844,,Duke Henderson Acc By Monroe Tucker's Orchestra,"Los Angeles, CA., December 6, 1950",1950,December,79970,Duke Henderson,1950,18,vcl
R23739,,,"Chicago, IL, August 17, 1955",1955,August,5161,Johnny Frigo,1955,90,b
R13071,,,"Melbourne, July 24, 1950",1950,July,172972,Graham Fitzgibbon,1950,27,bj
R161296,,,"London, May 9, 1950",1950,May,56385,Ralph Bruce,1950,5,cl
R133134,,The Royal Air Force Dance Orchestra,"London, June 12, 1944",1944,June,47475,Denny Dennis,1944,69,
R108821,,,"New York, December 14, 1950",1950,December,25104,Bob Funk,1950,48,
R159936,,,"Los Angeles, November 26, 1947",1947,November,12697,Peggy Lee,1947,257,vcl
R127036,,Don Cherry/Artie Shaw/Sy Oliver,"New York, January 25, 1951",1951,January,12784,Sandy Block,1951,67,b
R125640,,,"New York, 14:00-17:00, April 22, 1955",1955,April,131016,Charlie Calhoun,1955,2,vcl
R43008,,Sonny Dunham And His Orchestra,"New York, April 9, 1941",1941,April,63136,Bunny Donin,1941,3,b
R76582,,Louis Jordan And His Tympany Five,"New York, December 21, 1950",1950,December,19245,Wild Bill Davis,1950,169,org
R49106,,Festival Swing 42,"Paris, September 26, 1941",1941,September,36117,Christian Wagner,1941,28,
R199197,,,"New York, March 12, 1942",1942,March,185178,Sonny Boy Williams,1942,3,"vcl,p"
R143324,,Joe Turner And His Blues Kings,"Chicago, October 7, 1953",1953,October,138485,Johnnie Jones,1953,9,p
R127014,,,"Los Angeles, 12:30-4:15pm, November 9, 1946",1946,November,10905,Si Zentner,1946,301,
R92390,,Betty Mays And Her Orchestra,"New York, 1946",1946,,994,Paul Bascomb,1946,37,ts
R128542,,Horace Silver Trio,"New York, October 9, 1952",1952,October,2492,Art Blakey,1952,394,d
R147973,,Larry Wagner And His Rhythmasters,"New York, November 24, 1937",1937,November,39659,Gene Prendergast,1937,76,cl
R132026,,Eddie South And His Ensemble (Incl. Shandor Gypsy Ensemble),"New York, c. late October, 1946",1946,October,197254,Richard Marta,1946,1,cimbalom-2
R126805,,Rhythm Makers (Art Shaw And His New Music),"Thesaurus transcriptions, New York, July 12, 1937",1937,July,131880,Betty Lowther,1937,1,vcl
R131684,,"Clifford ""King"" Solomon & His Orchestra","New York, August 2, 1953",1953,August,2480,Max Roach,1953,383,d
R81331,,Jerry Kruger Acc By Her Knights Of Rhythm,"New York, September 17, 1937",1937,September,16896,Jimmy McLin,1937,19,g
