sid,title,group_name,datelocation
R145797,,Sarah Vaughan Accompanied By Count Basie Band Plus Her Trio,"Concert ""Carnegie Hall"", New York, September 25, 1954"
R145800,,Sarah Vaughan Acc By Part Of The Count Basie Orchestra,"Live ""Birdland"", New York, c. December 16, 1954"
R145801,,,"New York, December 16, 1954"
R145809,,Sarah Vaughan Acc By Ernie Wilkins Orchestra,"New York, October 25, 1955"
R146180,Charlie Ventura's Carnegie Hall Concert,,"Concert ""Carnegie Hall"", New York, April 5, 1947"
R146195,,,"New York, December 28, 1949"
R146200,Blue Saxophone,Charlie Ventura's Big Four,"New York, August 8, 1951"
R15349,,Big Maybelle with Tiny Bradshaw Orchestra,"New York, November, 1947"
R15407,Jubilee - The Original 1945 Broadcasts,Barney Bigard With Benny Carter And His Orchestra,"Jubilee show no. 129, Hollywood, CA, April 16, 1945"
R906,,,"New York, August 5, 1955"
R1034,Introducing Nat Adderley,,"New York, September 6, 1955"
R37647,,,"CBS TV broadcast, Adventures in Jazz, New York, March 4, 1949"
R203093,,,"CBS TV broadcast, Adventures in Jazz, New York, March 4, 1949"
R203094,,,"CBS TV broadcast, Adventures in Jazz, New York, March 4, 1949"
R203095,,Jam Session,"CBS TV broadcast, Adventures in Jazz, New York, March 4, 1949"
R7053,,Georgie Auld And His Orchestra,"New York, February 7, 1945"
R7054,,Georgie Auld And His Orchestra,"New York, March 23 or 28, 1945"
R7073,,Georgie Auld Quintet,"New York, March 30, 1951"
R7075,,Georgie Auld Quintet,"New York, May 18, 1951"
R7076,,Bill Darnell With Georgie Auld's Orchestra,"New York, June 18, 1951"
R148075,,,"New York, May 24, 1944"
R148759,George Wallington Trio,George Wallington Trio/Octet,"New York, May 9, 1949"
R148760,The George Wallington Trio,,"New York, November 21, 1951"
R148761,The George Wallington Trio,,"New York, September 4, 1952"
R148762,,,"New York, September 4, 1952"
R148763,"The George Wallington Trio, Volume 2",,"New York, May 25, 1953"
R148766,,Three Pianos,"New York, February, 1954"
R148768,The Workshop Of The George Wallington Trio & Eddie Costa Trio,George Wallington Trio,"New York, June 10, 1954"
R149269,,Dinah Washington With Dizzy Gillespie Orchestra,"Broadcast ""Royal Roost"", New York, October 16, 1948"
R149273,,Dinah Washington With Teddy Stewart Orchestra,"New York, March 4, 1949"
R149275,,Dinah Washington Acc By Teddy Stewart Orchestra,"New York, September 27, 1949"
R149280,,Dinah Washington With Teddy Stewart Orchestra,"New York, May 9, 1950"
R209940,"Dinah Washington Concert (Newport Jazz Festival, Newport, RI Jul 16, 1955)",,"Live ""Newport Jazz Festival"", Newport, RI, July 16, 1955"
R150376,,,"New York, August, 1945"
R150654,,Ben Webster Quintet,"New York, May 15, 1946"
R150660,,Ben Webster Quintet,"New York, May 21, 1953"
R150661,,Ben Webster And His Orchestra,"Los Angeles, December 8, 1953"
R150662,,Ben Webster Quartet,"New York, March 30, 1954"
R154142,,Cootie Williams And His Orchestra,"Broadcast AFRS ONS #582, ""Savoy Ballroom"", New York, February 12, 1945"
R154143,,Cootie Williams And His Orchestra,"New York, February 26, 1945"
R154662,,Mary Lou Williams & Her Orchestra,"New York, 1947"
R154846,,Rubberlegs Williams With Herbie Fields' Band,"New York, April 24, 1945"
R154873,,,"New York, March 5, 1950"
R155700,,Teddy Wilson/Flip Phillips Quintet,"Concert ""Town Hall"", New York, June 9, 1945"
R155713,,Teddy Wilson Trio,"New York, March 12, 1949"
R155718,,Teddy Wilson Trio,"New York, December 16, 1952"
R155726,,The Teddy Wilson Trio With Guests,"CBS Broadcast, AFRS transcriptions 13, New York, April 23, 1955"
R155861,,Kai Winding Sextet,"New York, April 10, 1949"
R155862,Brewer's Blew,Kai Winding Sextet,"Broadcast ""Royal Roost"", New York, April 15, 1949"
R155863,,Kai Winding Septet,"New York, August 23, 1949"
R155866,"Al Haig Meets The Master Saxes, Vol 3",Kai Winding Sextet,"Broadcast ""Birdland"", New York, September 3, 1951"
R84854,Jazz Ecstacy,Harvey Leonard Trio/Sextet,"New York, 1955"
R156452,,,"WNEW radio broadcast, New York, April 5, 1947"
R156453,,Ella Fitzgerald And Buddy Rich With Roy Ross' Ragamuffins,"WNEW radio broadcast, New York, April 5, 1947"
R156454,,,"WNEW broadcast, New York, April 12, 1947"
R156459,,,"WNEW radio broadcast, New York, May 31, 1947"
R156807,Phil Woods New Jazz Quintet,,"Hackensack, N.J., October 12, 1954"
R156809,Woodlore,,"Hackensack, N.J., November 25, 1955"
R157144,WPIX Jam Session,,"WPIX-TV, New York, January 17, 1949"
R158272,,Lester Young With Nat Cole,"AFRS Jubilee #184, Hollywood, CA, c. March 20, 1946"
R158273,,Lester Young/Buddy Rich Trio,"Los Angeles, c. late March or early April 1946"
R158278,,Lester Young Sextet,"Concert ""One Night Stand"", ""Town Hall"", New York, November 8, 1947"
R158279,,Lester Young And His Band,"New York, December 29, 1947"
R158280,,Lester Young And His Orchestra,"WMGM radio broadcast, ""Royal Roost"", New York, November 27, 1948"
R158281,,Lester Young And His Orchestra,"WMGM radio broadcast, ""Royal Roost"", New York, December 4, 1948"
R158283,,Lester Young And His Orchestra,"WMGM radio broadcast, ""Royal Roost"", New York, March 19, 1949"
R158284,,Lester Young And His Orchestra,"WMGM radio broadcast, ""Royal Roost"", New York, March 26, 1949"
R158285,,Lester Young And His Orchestra,"WMGM radio broadcast, ""Royal Roost"", New York, April 9, 1949"
R158286,,Lester Young And His Orchestra,"New York, June 28, 1949"
R158287,,Lester Young Quartet,"New York, c. September 17, 1949"
R158289,,Lester Young And His Band,"Live ""Royal Roost"", New York, March 15, 1950"
R158306,Lester Young With The Oscar Peterson Trio,,"New York, November 28, 1952"
R158315,,Lester Young/Harry Edison All Stars,"Los Angeles, November 1, 1955"
R158382,,,"Chicago, February 7, 1944"
R16323,New Sounds,,"New York, December 22, 1947"
R16324,,Art Blakey And The Jazz Messengers,"Broadcast ""Birdland"", New York, October 31, 1953"
R16326,A Night At Birdland,Art Blakey Quintet,"Live ""Birdland"", New York, February 21, 1954"
R16328,Art Blakey,,"New York, May 20, 1954"
R16329,The Jazz Messengers At The Cafe Bohemia,Art Blakey & The Jazz Messengers,"Live ""Cafe Bohemia"", New York, November 23, 1955"
R19004,,Tiny Bradshaw And His Orchestra,"New York, March 11, 1947"
R20761,The Dual Role Of Bob Brookmeyer,,"New York, June 30, 1955"
R191360,,,"Los Angeles, 1954"
R21136,Max Roach & Clifford Brown In Concert,Clifford Brown/Max Roach,"Live, poss. ""California Club"", Los Angeles, April, 1954"
R21131,,,"Eric Dolphy's home, Los Angeles, June or July, 1954"
R21139,,Clifford Brown/Max Roach Quintet,"Los Angeles, August 2, 1954"
R21143,,Clifford Brown All Stars - Brown/Geller/Roach,"Los Angeles, August 11, 1954"
R21145,Max Roach And Clifford Brown In Concert,,"Live, poss. ""Crescendo Club"", Los Angeles, August 30, 1954"
R21147,Clifford Brown With Strings,,"New York, January 18, 1955"
R191356,,,"Radio broadcast, John McLellan's Top Shelf, ""Storyville Club"", Boston, MA, February 11, 1955"
R21150,Study In Brown,Clifford Brown/Max Roach Quintet,"New York, February 23, 1955"
R177110,More Live At The Bee Hive,Clifford Brown/Max Roach Quintet,"Live ""The Bee Hive"", Chicago, IL, June 30, 1955"
R21155,"Brownie's Eyes, Vol. 6",Brown/Roach Quintet,"Live, Newport Jazz Festival, Newport, R.I., July 16, 1955"
R21156,Live At The Bee Hive,Brown/Roach,"Live ""Beehive"", Chicago, IL, November 7, 1955"
R191355,,,"Broadcast ""Beehive"", Chicago, IL, c. November 7, 1955"
R21532,,Les Brown And His Orchestra,"New York, July 27, 1949"
R21808,,Pete Brown And His Band,"New York, February 9, 1942"
R21828,,Ray Brown's All Stars/The Be Bop Boys,"New York, September 25, 1946"
R21829,Ray Brown - Ella Fitzgerald,,"Broadcast ""Royal Roost"", New York, November 27, 1948"
R21830,,,"Broadcast ""Royal Roost"", New York, December 4, 1948"
R193358,,,"New York, April, 1950"
R21831,,Ray Brown Trio,"New York, July 1, 1950"
R21922,,Ruth Brown Acc By Budd Johnson's Orchestra,"New York, September 18, 1949"
R22225,,Dave Brubeck Quartet Plus Guests,"Live, Newport Jazz Festival, Newport, R.I., July 16, 1955"
R22952,,The Beale Street Gang/Milt Buckner Trio,"New York, October 28, 1946"
R22953,,The Beale Street Gang,"New York, December 8, 1947"
R23159,,Milton Buggs With Ray Abrams Orchestra,"New York, February 18, 1947"
R1703,Amazing Toshiko Akiyoshi,Toshiko Akiyoshi Trio,"Tokyo, November 13 & 14, 1953"
R23750,,Ralph Burns And His Orchestra,"New York, August 7, 1951"
R23754,Perpetual Motion,,"New York, February 4, 1955"
R24605,,,"New York, August 21, 1946"
R24625,Yesterdays,Don Byas Meets Dizzy Gillespie,"Live ""Teatro Nuovo"", Milan, Italy, April 7 & 8, 1952"
R25706,,,"New York, August 30, 1939"
R25708,,,"New York, October 17, 1939"
R25709,,,"New York, November 20, 1939"
R25710,,Cab Calloway And His Orchestra,"Chicago, March 8, 1940"
R25719,,,"Chicago, January 16, 1941"
R25725,,,"New York, November 3, 1941"
R26332,,,"Los Angeles, March 30, 1945"
R27090,,Benny Carter And His Orchestra,"AFRS Jubilee no. 4, Los Angeles, CA, December 18, 1942"
R27095,,,"Broadcast, Los Angeles, March 24, 1943"
R27097,,,"AFRS Basic Music Library P-33, Los Angeles, May 1943"
R27098,,,"San Francisco, CA, October 25, 1943"
R27102,,,"Los Angeles, May 21, 1944"
R27103,,,"AFRS Jubilee no. 83, Los Angeles, CA, June 12, 1944"
R27106,Benny Carter's Jubilee,,"AFRS Jubilee no. 125, Los Angeles, CA, March 19, 1945"
R27111,,,"Los Angeles, CA, April 9, 1945"
R27114,,,"AFRS Jubilee no. 132, Los Angeles, May 8, 1945"
R27118,,,"New York, January 7, 1946"
R27119,,,"New York, January 8, 1946"
R27120,,,"Broadcast, ""The Streets of Paris"", Los Angeles, CA, March 31, 1946"
R27121,,,"AFRS Jubilee no. 184, Los Angeles, CA, April/May 1946"
R27147,Alone Together,Benny Carter With The Oscar Peterson Trio And Buddy Rich,"Los Angeles, September 18, 1952"
R27148,,Benny Carter And His Orchestra,"New York, October 2, 1952"
R27150,Cosmopolite,Benny Carter Quintet,"New York, December 4, 1952"
R27154,New Jazz Sounds,,"New York, September 14, 1954"
R27156,,Benny Carter Quintet,"Los Angeles, November 12, 1954"
R28461,,Serge Chaloff Sextette,"New York, March 5, 1947"
R28823,The Dual Role Of Bob Brookmeyer,Teddy Charles/Bob Brookmeyer Quartet,"New York, January 6, 1954"
R29607,,Jam Session,"Live ""Minton's Playhouse"", New York, May 1941"
R29859,,Savannah Churchill And Her Ochestra,"New York, February 27, 1945"
R30264,,Kenny Clarke And His 52Nd Steet Boys,"New York, September 5, 1946"
R30265,,Kenny Clarke Sextet,"Paris, France, March 2, 1948"
R30268,,Kenny Clarke And His Clique,"New York, January 25, 1949"
R30447,,Buck Clayton Quintet,"New York, June 7, 1945"
R30606,,,"New York, August 12, 1955"
R31196,,Al Cohn Quartet,"New York, July 29, 1950"
R31197,Al Cohn Quintet,,"New York, June 23, 1953"
R31827,Bopping The Blues,,"Hollywood, CA, October 18, 1946"
R31830,,,"New York, November 29, 1948"
R32908,,Eddie Condon Floor Show #13,"NBC-TV, Eddie Condon's Floor Show no. 13, New York, December 13, 1948"
R166230,,Eddie Condon Jam Session,"TV-cast, New York, March 5, 1949"
R166231,,Eddie Condon Jam Session,"TV-cast, New York, March 12, 1949"
R166232,,Eddie Condon Jam Session,"TV-cast, New York, March 19, 1949"
R166233,,Eddie Condon Jam Session,"TV-cast, New York, March 26, 1949"
R32914,,Eddie Condon Jam Session,"TV-cast, New York, April 16, 1949"
R32916,,Eddie Condon Jam Session,"TV-cast, New York, May 21, 1949"
R32920,,Eddie Condon Jam Session,"TV-cast, New York, June 25, 1949"
R166236,,Eddie Condon Jam Session,"TV-cast, New York, August 6, 1949"
R166241,,Eddie Condon's Jazz Concert All Stars,"Broadcast, New York, January, 1950"
R166242,,,"Broadcast, New York, 1950"
R166244,,,"Broadcast, New York, 1950"
R35056,Intermission Riff,,"Live ""Shrine Auditorium - JATP"", Los Angeles, October 12, 1951"
R36660,,Tadd Dameron And His Band,"New York, October 28, 1947"
R36661,,Tadd Dameron Quintet,"Broadcast ""Royal Roost"", New York, August/September 1948"
R36662,"The Fabulous Fats Navarro, Vol. 2",The Tadd Dameron Septet,"New York, September 13, 1948"
R36663,,Tadd Dameron Septet,"Broadcast ""Royal Roost"", New York, October 2, 1948"
R36667,,Tadd Dameron Quintet,"Broadcast ""Royal Roost"", New York, October 30, 1948"
R36670,,Tadd Dameron And His Orchestra/Big Ten,"New York, January 18, 1949"
R36671,,Tadd Dameron Big Ten,"Broadcast ""Royal Roost"", New York, February 12, 1949"
R36672,,Tadd Dameron Big Ten,"Broadcast ""Royal Roost""' New York, February 19, 1949"
R36675,,Tadd Dameron And His Orchestra,"New York, April 21, 1949"
R36851,,Junior Daniels With Al Haig's Trio,"New York, July 15, 1949"
R37408,,Eddie Davis & His Beboppers,"New York, December 18, 1946"
R37410,,Eddie Davis Quintet,"New York, April 12, 1947"
R37641,,Miles Davis All Stars,"New York, August 14, 1947"
R37642,,Miles Davis And His Orchestra,"Broadcast ""Royal Roost"", New York, September 4, 1948"
R37643,,Miles Davis And His Orchestra,"Broadcast ""Royal Roost"", New York, September 18, 1948"
R37644,Miles Davis Vol 1,,"Broadcast ""Royal Roost"", New York, September 25, 1948"
R37646,Birth Of The Cool,Miles Davis And His Orchestra,"New York, January 21, 1949"
R37648,,,"New York, April 22, 1949"
R37649,,Miles Davis/Tadd Dameron Quintet,"Live ""Salle Pleyel"", Paris, France, May 8, 1949"
R37651,A Very Special Concert,Miles Davis Sextet,"Broadcast, ""WNYC Jazz Festival"",  New York, February 18, 1950"
R37652,,Miles Davis And His Orchestra,"New York, March 9, 1950"
R37653,,Birdland All Stars,"Live ""Birdland"", New York, June 30, 1950"
R37654,Miles Davis Sextet,,"New York, January 17, 1951"
R159662,Birdland 1951,Miles Davis All Stars,"Broadcast ""Birdland"", New York, February 17, 1951"
R37656,,Miles Davis Sextet,"Broadcast ""Birdland"", New York, June 2, 1951"
R37657,,Miles Davis All Stars,"Broadcast, ""Birdland"", New York, September 29, 1951"
R37658,,Miles Davis Sextet,"New York, October 5, 1951"
R37659,,Miles Davis With Jimmy Forrest Quartet/Quintet,"Live ""The Barrel"", St. Louis, spring, 1952"
R37660,,Miles Davis With Beryl Booker's Quintet,"Broadcast ""Birdland"", New York, April 25, 1952"
R205696,Unissued at Birdland 1952-59,Miles Davis Sextet,"WJZ Radio broadcast ""Birdland"", New York, April 26, 1952"
R37661,,Miles Davis All Stars,"Broadcast ""Birdland"", New York, May 2, 1952"
R37663,,Miles Davis All Stars,"New York, May 9, 1952"
R37664,"Live At The Hi-Hat, Boston",Miles Davis With The Hi Hat All Stars,"Live ""Hi Hat Club"", Boston, Mass., prob. 1953"
R37665,Collector's Items,Miles Davis Sextet,"New York, January 30, 1953"
R37666,Miles And Horns,Miles Davis All Stars,"New York, February 19, 1953"
R37667,,Miles Davis All Stars,"New York, April 20, 1953"
R37668,,Miles Davis All Stars,"Broadcast ""Birdland"", New York, May 16, 1953"
R37669,Blue Haze,Miles Davis Quartet,"New York, May 19, 1953"
R37670,At Last,Miles Davis And The Lighthouse All Stars,"Live ""The Lighthouse"", Hermosa Beach, CA., September 13, 1953"
R37671,,Miles Davis Quartet,"Hackensack, NJ., March 6, 1954"
R37673,,Miles Davis Quintet,"Hackensack, NJ., April 3, 1954"
R37674,,Miles Davis Sextet,"Hackensack, NJ, April 29, 1954"
R37675,Bags' Groove,Miles Davis Quintet,"Hackensack, NJ., June 29, 1954"
R37676,,Miles Davis All Stars,"Hackensack, NJ., December 24, 1954"
R37677,The Musings Of Miles,,"Hackensack, NJ., June 7, 1955"
R37678,,Miles Davis Quintet,"New York, July 8, 1955"
R37679,,,"Live, Newport Jazz Festival, Freebody Park, Newport, RI, July 17, 1955"
R37680,Milt And Miles,Miles Davis Quintet/Sextet,"Hackensack, NJ., August 5, 1955"
R37681,,Miles Davis Quintet,"New York, October 26, 1955"
R37682,Miles,Miles Davis Quintet,"Hackensack, NJ., November 16, 1955"
R37683,,Miles Davis Quintet,"NBC TV ""Tonight Show"", Hudson Theatre, New York, November 17, 1955"
R38242,,,"New York, May 7 or 20, 1954"
R38726,,Buddy DeFranco Sextet,"New York, August 24, 1949"
R38731,,Buddy DeFranco Quartet,"New York, February 27, 1952"
R38733,,,"San Francisco, CA, June 30, 1952"
R38747,Buddy DeFranco And The Oscar Peterson Quartet,,"Los Angeles, October 29, 1954"
R38748,The George Gershwin Songbook,,"Los Angeles, December 6, 1954"
R39194,New Piano Expressions,John Dennis Trio,"Hackensack, N.J., March 10, 1955"
R41096,Lou Donaldson Sextet Vol 2,,"Hackensack, N.J., August 22, 1954"
R191789,,,"New York, October 21, 1953"
R41346,Kenny Dorham Quintet,,"New York, December 15, 1953"
R41347,Afro/Cuban,Kenny Dorham Sextet,"Hackensack, N.J., January 30, 1955"
R41348,,,"Hackensack, N.J., March 29, 1955"
R41558,,Jimmy Dorsey And His Orchestra,"Hollywood, June 7, 1944"
R41625,,,"New York, April, 1947"
R41812,,Tommy Dorsey And His Orchestra,"Chicago, November 24, 1939"
R41814,,Tommy Dorsey And His Orchestra,"Chicago, February 1, 1940"
R41819,,Tommy Dorsey And His Orchestra,"NBC radio broadcast ""Meadowbrook"", Cedar Grove, NJ, February 20, 1940"
R41818,,Tommy Dorsey And His Orchestra,"New York, February 26, 1940"
R41820,,Tommy Dorsey and his Orchestra,"NBC radio broadcast ""Meadowbrook"", Cedar Grove, NJ, March 2, 1940"
R41823,,Tommy Dorsey And His Orchestra,"New York, March 12, 1940"
R41827,,Tommy Dorsey And His Orchestra,"New York, April 10, 1940"
R41832,,Tommy Dorsey And His Sentimentalists,"New York, June 13, 1940"
R41833,,Tommy Dorsey And His Orchestra,"NBC radio broadcast ""Roof Garden, Hotel Astor"", New York, June 22, 1940"
R41836,,Tommy Dorsey And His Orchestra And Sentimentalists,"New York, July 17, 1940"
R41839,,Tommy Dorsey And His Orchestra,"New York, September 9, 1940"
R41849,,Tommy Dorsey And His Orchestra,"New York, January 6, 1941"
R41856,,Tommy Dorsey And His Orchestra,"New York, May 28, 1941"
R41860,,Tommy Dorsey And His Orchestra,"New York, August 19, 1941"
R41870,,Tommy Dorsey And His Orchestra,"Hollywood, CA, March 9, 1942"
R41873,,Tommy Dorsey And His Orchestra,"New York, May 18, 1942"
R177409,,,"radio broadcast, ""Spotlight Bands"", ""La Guardia Air Field"", New York, March 12, 1945"
R42559,"New Faces, New Sounds",Introducing The Kenny Drew Trio With Curly Russel/Art Blakey,"Hackensack, N.J., April 16, 1953"
R43445,,Allen Eager Quartet,"New York, March 22, 1946"
R43446,In The Land Of Oo-Bla-Dee 1947-1953,,"New York, April, 1947"
R43449,,Allen Eager With The Be-Bop Boys,"New York, July 15, 1947"
R43451,,,"New York, summer 1948"
R43452,,,"New York, April 1, 1949"
R43456,,,"New York, March, 1953"
R43475,Jon Eardley Quintet,,"Hackensack, NJ, March 14, 1955"
R43788,,Billy Eckstine With DeLuxe All Star Band,"New York, April 13, 1944"
R43789,,Billy Eckstine And His Orchestra,"New York, December 5, 1944"
R43790,Together,,"AFRS Jubilee Broadcasts ""Club Plantation"", Los Angeles, Feb & March, 1945"
R43792,,,"New York, September, 1945"
R43794,,Billy Eckstine And His Orchestra,"New York, January 3, 1946"
R43795,,,"New York, February, 1946"
R43798,,Billy Eckstine And His Orchestra,"Los Angeles, October 5, 1946"
R44072,,,"Los Angeles, 1945"
R44442,,,"New York, February 13, 1953"
R44443,Dale's Wail,,"New York, April 23, 1953"
R44445,,,"Los Angeles, December 10, 1953"
R44447,Little Jazz,,"New York, September 15, 1954"
R45732,,Mercer Ellington And His Orchestra,"New York, May 17, 1946"
R45733,,,"New York, spring 1947"
R45774,,The Ellingtonians With Al Hibbler,"New York, September 21, 1950"
R45775,,The Ellingtonians,"New York, September 21, 1950"
R45924,Ellis In Wonderland,,"Los Angeles, December 28, 1955"
R46859,,,"San Francisco, March, 1952"
R46900,,Esquire Third Annual Jazz Concert : Duke Ellington And Woody Herman Orchestras And The King Cole Trio,"Ritz Theater, New York, January 16, 1946"
R47377,,,"New York, November 15, 1949"
R3926,,Gene Ammons/Sonny Stitt/Gene Ammons Band,"New York, March 5, 1950"
R3927,,,"New York, April 26, 1950"
R48093,Artistry of Tal Farlow,,"Los Angeles, November 15 & 16, 1954"
R48872,Jam Session,,"Los Angeles, February 23, 1954"
R48876,Around The Horn With Maynard Ferguson,,"Los Angeles, November 7, 1955"
R49778,,Ella Fitzgerald And Her V-Disc Jumpers,"New York, October 12, 1945"
R49788,,,"New York, December 20, 1947"
R49796,,,"Broadcast ""Royal Roost"", New York, April 15, 1949"
R49797,,,"Broadcast ""Royal Roost"", New York, April 23, 1949"
R187408,,,"Broadcast ""Royal Roost"", New York, April 30, 1949"
R49805,,Ella Fitzgerald Acc By Sy Oliver's Orchestra,"New York, March 6, 1950"
R49811,,,"New York, September 26, 1950"
R49813,The Enchanting Ella Fitzgerald (Live At Birdland 1950 - 1952),,"Live ""Birdland"", New York, December 30, 1950"
R49821,,Ella Fitzgerald Acc By Ray Brown's Orchestra,"New York, January 4, 1952"
R206139,,,"Live ""Birdland"", New York, summer 1952"
R49826,,,"Live ""Birdland"", New York, August 16, 1952"
R206141,,,"Live ""Birdland"", New York, August 17, 1952"
R49844,,,"Live ""Basin Street"", New York, August 3 or 7, 1955"
R50496,,Med Flory And His Orchestra,"New York, February 4, 1954"
R50800,,Sara Forde With Mercer Ellington And His Orchestra,"New York, September 21, 1950"
R88930,,Machito And His Afro Cuban Orchestra,"New York, December 20, 1948"
R188337,,,"Broadcast Bop City, New York, February 11, 1949"
R88940,,,"New York, June 13, 1950"
R88942,Afro-Cuban Jazz Suite,Machito And His Orchestra,"New York, December 21, 1950 or poss. late 1948"
R88944,,,"New York, March 19, 1952"
R52529,,,"Live ""Open Door"", New York, mid 1953"
R203131,The 1954 Unissued Atlantic Session,Tony Fruscella & Brew Moore,"New York, March 22, 1954"
R53049,,,"Hollywood, CA., prob December 29, 1945"
R53082,,,"New York, December, 1952"
R4774,,Ray Anthony And His Orchestra,"Hollywood, CA, May 8, 1950"
R4783,,Ray Anthony And His Orchestra,"Chicago, IL, August 20, 1950"
R4786,,Ray Anthony And His Orchestra,"New York, October 16, 1950"
R4798,,Ray Anthony And His Orchestra,"New York, December 10, 1950"
R54429,,Stan Getz Quartet : The Be-Bop Boys,"New York, July 31, 1946"
R54430,,Stan Getz Quintet,"New York, October 25-26, 1948"
R54431,,Stan Getz Orchestra,"New York, November 21, 1948"
R54432,,Stan Getz Four Brothers Bop Tenor Sax Stars,"New York, April 8, 1949"
R54433,,Stan Getz Boppers (New Sound Stars),"New York, May 2, 1949"
R54434,,Stan Getz Quartet,"New York, June 21, 1949"
R54435,,Stan Getz Quintet,"Carnegie Hall, New York, December 24, 1949"
R54436,,Stan Getz Quartet,"New York, January 6, 1950"
R54438,,Stan Getz Quartet,"New York, May 17, 1950"
R54439,,Stan Getz And His Orchestra,"Live ""Apollo Theatre"", New York, August 17, 1950"
R54444,,Stan Getz Quintet,"New York, August 15, 1951"
R54445,Storyville Vol. 1 & 2,Stan Getz Quintet,"Live ""Storyville Club"", Boston, Mass., October 28, 1951"
R54465,,Stan Getz Quartet,"WMGM Broadcast, ""Birdland"", New York, February 16, 1953"
R54469,Interpretations By The Stan Getz Quintet,Stan Getz/Bob Brookmeyer Quintet,"Hollywood, CA, July 27, 1953"
R54473,,Stan Getz Quartet,"Hollywood, CA, January 23, 1954"
R54740,,Terry Gibbs New Jazz Pirates (Stan Getz All Stars),"New York, March 14, 1949"
R54741,,Terry Gibbs Quintet,"New York, February, 1951"
R54744,,,"Band Box, New York, March 16 & 22, 1953"
R55002,The Harlem Jazz Scene 1941,,"Live ""Minton's Playhouse"", New York, May 1941"
R55003,,,"Live ""Minton's Playhouse"", New York, May 1941"
R181548,,Jam Session,"Private recording ""Clark Monroe's Uptown House"", New York, October, 1941"
R181547,,Dizzy Gillespie/Oscar Pettiford Quintet,"Broadcast ""Onyx Club"", New York, January, 1944"
R55004,,Dizzy Gillespie Sextet,"New York, January 9, 1945"
R55005,,Dizzy Gillespie Sextet,"New York, February 9, 1945"
R55006,,Dizzy Gillespie Sextet,"New York, February 28, 1945"
R55007,,Dizzy Gillespie And His All Star Quintet,"New York, May 11, 1945"
R162122,"Town Hall, New York City, June 22, 1945",Dizzy Gillespie/Charlie Parker,"Live ""Town Hall"", New York, June 22, 1945"
R55008,,Dizzy Gillespie Quintet/and His Rebop Six,"Broadcast AFRS Jubilee, Hollywood, CA, December 29, 1945"
R55009,,Dizzy Gillespie With Johnny Richards Orchestra,"Los Angeles, January/February 1946"
R55010,,,"Broadcast, prob ""Billy Berg's"", Los Angeles, January 24, 1946"
R55011,,Dizzy Gillespie Jazzmen,"Glendale, Ca., February 5, 1946"
R55012,,Dizzy Gillespie Jazzmen (Tempo Jazzmen),"Glendale, CA., February 6, 1946"
R55013,,Dizzy Gillespie And His Orchestra,"New York, February 22, 1946"
R55014,,Dizzy Gillespie Sextet,"New York, May 15, 1946"
R55015,,Dizzy Gillespie And His Orchestra,"New York, June 10, 1946"
R55016,Live At The Spotlight,Dizzy Gillespie Big Band,"Live ""Spotlite Club"", New York, June 18, 1946"
R55018,,Dizzy Gillespie And His Orchestra,"New York, July 9, 1946"
R55019,,Dizzy Gillespie And His Orchestra,"New York, November 10, 1946"
R55020,,Dizzy Gillespie And His Orchestra,"Broadcast, ""Apollo Theatre"", New York, January 22, 1947"
R55021,Jivin' In Be-bop,Dizzy Gillespie And His Orchestra,"Film soundtrack, New York, c. mid 1947"
R55022,Dizzy Gillespie Live At The Downbeat Club,,"Live ""Down Beat Club"", New York, July, 1947"
R55024,,Dizzy Gillespie And His Orchestra,"New York, August 22, 1947"
R55025,It Happened One Night,Dizzy Gillespie And His Orchestra With Ella Fitzgerald,"Concert ""Carnegie Hall"", New York, September 29, 1947"
R55026,Dizzy Gillespie And His Legendary Big Band Live At Carnegie Hall 1947,,"Concert ""Carnegie Hall"", New York, September 29, 1947"
R55027,Dizzy Goes To College Vol.1 & Vol.2,Dizzy Gillespie And His Orchestra,"Concert ""Cornell University"", Ithaca, NY, October 18, 1947"
R55028,,,"New York, December 22, 1947"
R55030,Bebop Enters Sweden 1947-49,,"Vinterpalatset, Stockholm, Sweden, February 2, 1948"
R55032,The Original Dizzy Gillespie Big Band In Concert,Dizzy Gillespie And His Orchestra,"Concert ""Civic Auditorium"", Pasadena, CA., July 19, 1948"
R55039,,Dizzy Gillespie And His Orchestra,"New York, December 29, 1948"
R55040,Good Bait,Dizzy Gillespie And His Orchestra,"AFRS Jubilee 313, New York, c. late December 1948"
R55041,Swingin' Round The Clock,Dizzy Gillespie And His Orchestra,"AFRS ""Christmas Jubilee"", Show, December 1948"
R55042,,Dizzy Gillespie And His Orchestra,"New York, April 14, 1949"
R55043,,,"poss Chicago, May 6, 1949"
R55047,,Dizzy Gillespie And His Orchestra,"New York, July 6, 1949"
R55049,,Dizzy Gillespie And His Orchestra,"New York, November 21, 1949"
R55051,,Dizzy Gillespie Sextet,"New York, September 16, 1950"
R55052,Plays,Dizzy Gillespie With Johnny Richards And His Orchestra,"Los Angeles, CA, October 31, 1950"
R55054,,Dizzy Gillespie Sextet,"Broadcast ""Birdland"", New York, January 6, 1951"
R55057,,Dizzy Gillespie Octet,"Broadcast ""Birdland"", New York, February 3, 1951"
R55058,The Dee Gee Days,Dizzy Gillespie Sextet,"Detroit, Mich., March 1, 1951"
